index,fecha,cod_capitulo,capitulo,cod_articulo,articulo,cod_concepto,concepto,cod_subconcepto,subconcepto,para,cantidad
1,2013,3,"Tasas, precios públicos y otros ingresos",30,Tasas,303,Tasas Académicas,30300,Por servicios administrativos,Universidad de Granada,1900000
2,2013,3,"Tasas, precios públicos y otros ingresos",31,Precios públicos,312,Servicios académicos enseñanzas regladas,31200,Enseñanzas de Grado,Universidad de Granada,29000000
3,2013,3,"Tasas, precios públicos y otros ingresos",31,Precios públicos,312,Servicios académicos enseñanzas regladas,31201,Enseñanzas de Posgrado oficial,Universidad de Granada,2900000
4,2013,3,"Tasas, precios públicos y otros ingresos",31,Precios públicos,312,Servicios académicos enseñanzas regladas,31202,Compensación becarios,Universidad de Granada,10500000
5,2013,3,"Tasas, precios públicos y otros ingresos",31,Precios públicos,312,Servicios académicos enseñanzas regladas,31203,Compensación familias numerosas,Universidad de Granada,1500000
6,2013,3,"Tasas, precios públicos y otros ingresos",31,Precios públicos,312,Servicios académicos enseñanzas regladas,31204,Compens.matrícula personal propio,Universidad de Granada,840000
7,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,320,Derechos matrícula cursos y seminarios,32000,Estudios de Extensión Universitaria,Universidad de Granada,75000
8,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,320,Derechos matrícula cursos y seminarios,32002,Centro de Actividades Deportivas,Universidad de Granada,300000
9,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,320,Derechos matrícula cursos y seminarios,32003,Cursos propios de Postgrado,Universidad de Granada,1500000
10,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,320,Derechos matrícula cursos y seminarios,32008,"Inscripciones jornadas,congresos",Universidad de Granada,300000
11,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,320,Derechos matrícula cursos y seminarios,32010,Centro Mediterráneo,Universidad de Granada,150000
12,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,320,Derechos matrícula cursos y seminarios,32011,Aula Permanente Formación Abierta,Universidad de Granada,50000
13,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,320,Derechos matrícula cursos y seminarios,32099,Otros Cursos y Seminarios,Universidad de Granada,250000
14,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,323,Contratos artículo 83 LOU,32300,Contratos OTRI,Universidad de Granada,2500000
15,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,323,Contratos artículo 83 LOU,32302,Contratos Fundación Univ.Empresa,Universidad de Granada,375000
16,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,324,Unidades de apoyo a la investigación,32400,Centro Instrumentación Científica,Universidad de Granada,250000
17,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,325,"Alojamiento, restauración y residencias",32500,Colegio Mayor Isabel la Católica,Universidad de Granada,700000
18,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,325,"Alojamiento, restauración y residencias",32501,Comedores universitarios,Universidad de Granada,2100000
19,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,325,"Alojamiento, restauración y residencias",32503,Residencia Corrala de Santiago,Universidad de Granada,100000
20,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,325,"Alojamiento, restauración y residencias",32504,Residencia Carmen de la Victoria,Universidad de Granada,100000
21,2013,3,"Tasas, precios públicos y otros ingresos",32,Ingresos por prestación de servicios,329,Otros ingresos por prestación de servicios,32999,Otros por prestación de servicios,Universidad de Granada,100000
22,2013,3,"Tasas, precios públicos y otros ingresos",33,Venta de bienes,330,Publicaciones propias,33000,Libros y revistas Editorial Universit.,Universidad de Granada,250000
23,2013,3,"Tasas, precios públicos y otros ingresos",39,Otros Ingresos,399,Ingresos diversos,39900,Reintegro anuncios adjudicatarios,Universidad de Granada,25000
24,2013,3,"Tasas, precios públicos y otros ingresos",39,Otros Ingresos,399,Ingresos diversos,39999,Otros Ingresos,Universidad de Granada,50000
25,2013,4,Transferencias corrientes,40,De la Administración General del Estado,400,Del Ministerio de Educación,39999,Otros Ingresos,Universidad de Granada,10500000
26,2013,4,Transferencias corrientes,40,De la Administración General del Estado,400,Del Ministerio de Educación,40000,Financiación coste Ceuta y Melilla,Universidad de Granada,8500000
27,2013,4,Transferencias corrientes,40,De la Administración General del Estado,400,Del Ministerio de Educación,40003,Programas Europeos de movilidad,Universidad de Granada,2000000
28,2013,4,Transferencias corrientes,40,De la Administración General del Estado,401,De otros Ministerios,40003,Programas Europeos de movilidad,Universidad de Granada,100000
29,2013,4,Transferencias corrientes,40,De la Administración General del Estado,401,De otros Ministerios,40100,Financiación operaciones corrientes,Universidad de Granada,100000
30,2013,4,Transferencias corrientes,41,De Organismos Autónomos Administrativos,410.0,De Organismos autónomos estatales,40100,Financiación operaciones corrientes,Universidad de Granada,20000
31,2013,4,Transferencias corrientes,41,De Organismos Autónomos Administrativos,410.0,De Organismos autónomos estatales,41009,Del IMSERSO,Universidad de Granada,20000
32,2013,4,Transferencias corrientes,41,De Organismos Autónomos Administrativos,411.0,De Organismos autónomos Junta Andalucía,41009,Del IMSERSO,Universidad de Granada,50000
33,2013,4,Transferencias corrientes,41,De Organismos Autónomos Administrativos,411.0,De Organismos autónomos Junta Andalucía,41113,Instituto Andaluz de la Juventud,Universidad de Granada,50000
34,2013,4,Transferencias corrientes,42,De la Seguridad Social,421.0,Del Servicio Andaluz de Salud,41113,Instituto Andaluz de la Juventud,Universidad de Granada,3000000
35,2013,4,Transferencias corrientes,42,De la Seguridad Social,421.0,Del Servicio Andaluz de Salud,42100,Plazas vinculadas. C.Específico,Universidad de Granada,3000000
36,2013,4,Transferencias corrientes,45,De Comunidades Autónomas,450,Consej.Innovación Ciencia y Empresa. J.And,42100,Plazas vinculadas. C.Específico,Universidad de Granada,259083607
37,2013,4,Transferencias corrientes,45,De Comunidades Autónomas,450,Consej.Innovación Ciencia y Empresa. J.And,45000,Financiación operativa estructural,Universidad de Granada,204719518
38,2013,4,Transferencias corrientes,45,De Comunidades Autónomas,450,Consej.Innovación Ciencia y Empresa. J.And,45001,Financ. Operativa vincul. resultados,Universidad de Granada,46866897
39,2013,4,Transferencias corrientes,45,De Comunidades Autónomas,450,Consej.Innovación Ciencia y Empresa. J.And,45002,Al Consejo Social,Universidad de Granada,107193
40,2013,4,Transferencias corrientes,45,De Comunidades Autónomas,450,Consej.Innovación Ciencia y Empresa. J.And,45004,Planes de apoyo PRAEM,Universidad de Granada,425000
